filename,image_path,mask_path,width,height,channels,polyp_pixels,total_pixels,area_pct,size_bucket
1.png,Data/CVC-ClinicDB/images/1.png,Data/CVC-ClinicDB/masks/1.png,384,288,3,16978,110592,15.3519,Medium
10.png,Data/CVC-ClinicDB/images/10.png,Data/CVC-ClinicDB/masks/10.png,384,288,3,18262,110592,16.5129,Medium
100.png,Data/CVC-ClinicDB/images/100.png,Data/CVC-ClinicDB/masks/100.png,384,288,3,7215,110592,6.524,Medium
101.png,Data/CVC-ClinicDB/images/101.png,Data/CVC-ClinicDB/masks/101.png,384,288,3,7827,110592,7.0774,Medium
102.png,Data/CVC-ClinicDB/images/102.png,Data/CVC-ClinicDB/masks/102.png,384,288,3,7843,110592,7.0918,Medium
103.png,Data/CVC-ClinicDB/images/103.png,Data/CVC-ClinicDB/masks/103.png,384,288,3,9466,110592,8.5594,Medium
104.png,Data/CVC-ClinicDB/images/104.png,Data/CVC-ClinicDB/masks/104.png,384,288,3,13263,110592,11.9927,Medium
105.png,Data/CVC-ClinicDB/images/105.png,Data/CVC-ClinicDB/masks/105.png,384,288,3,16259,110592,14.7018,Medium
106.png,Data/CVC-ClinicDB/images/106.png,Data/CVC-ClinicDB/masks/106.png,384,288,3,14437,110592,13.0543,Medium
107.png,Data/CVC-ClinicDB/images/107.png,Data/CVC-ClinicDB/masks/107.png,384,288,3,20798,110592,18.8061,Medium
108.png,Data/CVC-ClinicDB/images/108.png,Data/CVC-ClinicDB/masks/108.png,384,288,3,19789,110592,17.8937,Medium
109.png,Data/CVC-ClinicDB/images/109.png,Data/CVC-ClinicDB/masks/109.png,384,288,3,18187,110592,16.4451,Medium
11.png,Data/CVC-ClinicDB/images/11.png,Data/CVC-ClinicDB/masks/11.png,384,288,3,17627,110592,15.9388,Medium
110.png,Data/CVC-ClinicDB/images/110.png,Data/CVC-ClinicDB/masks/110.png,384,288,3,25371,110592,22.9411,Large
111.png,Data/CVC-ClinicDB/images/111.png,Data/CVC-ClinicDB/masks/111.png,384,288,3,25628,110592,23.1735,Large
112.png,Data/CVC-ClinicDB/images/112.png,Data/CVC-ClinicDB/masks/112.png,384,288,3,25744,110592,23.2784,Large
113.png,Data/CVC-ClinicDB/images/113.png,Data/CVC-ClinicDB/masks/113.png,384,288,3,25929,110592,23.4456,Large
114.png,Data/CVC-ClinicDB/images/114.png,Data/CVC-ClinicDB/masks/114.png,384,288,3,27007,110592,24.4204,Large
115.png,Data/CVC-ClinicDB/images/115.png,Data/CVC-ClinicDB/masks/115.png,384,288,3,14861,110592,13.4377,Medium
116.png,Data/CVC-ClinicDB/images/116.png,Data/CVC-ClinicDB/masks/116.png,384,288,3,15701,110592,14.1972,Medium
117.png,Data/CVC-ClinicDB/images/117.png,Data/CVC-ClinicDB/masks/117.png,384,288,3,13632,110592,12.3264,Medium
118.png,Data/CVC-ClinicDB/images/118.png,Data/CVC-ClinicDB/masks/118.png,384,288,3,15540,110592,14.0516,Medium
119.png,Data/CVC-ClinicDB/images/119.png,Data/CVC-ClinicDB/masks/119.png,384,288,3,12854,110592,11.6229,Medium
12.png,Data/CVC-ClinicDB/images/12.png,Data/CVC-ClinicDB/masks/12.png,384,288,3,25551,110592,23.1038,Large
120.png,Data/CVC-ClinicDB/images/120.png,Data/CVC-ClinicDB/masks/120.png,384,288,3,16916,110592,15.2959,Medium
121.png,Data/CVC-ClinicDB/images/121.png,Data/CVC-ClinicDB/masks/121.png,384,288,3,17093,110592,15.4559,Medium
122.png,Data/CVC-ClinicDB/images/122.png,Data/CVC-ClinicDB/masks/122.png,384,288,3,16859,110592,15.2443,Medium
123.png,Data/CVC-ClinicDB/images/123.png,Data/CVC-ClinicDB/masks/123.png,384,288,3,15367,110592,13.8952,Medium
124.png,Data/CVC-ClinicDB/images/124.png,Data/CVC-ClinicDB/masks/124.png,384,288,3,16894,110592,15.276,Medium
125.png,Data/CVC-ClinicDB/images/125.png,Data/CVC-ClinicDB/masks/125.png,384,288,3,10385,110592,9.3904,Medium
126.png,Data/CVC-ClinicDB/images/126.png,Data/CVC-ClinicDB/masks/126.png,384,288,3,10540,110592,9.5305,Medium
127.png,Data/CVC-ClinicDB/images/127.png,Data/CVC-ClinicDB/masks/127.png,384,288,3,5122,110592,4.6314,Small
128.png,Data/CVC-ClinicDB/images/128.png,Data/CVC-ClinicDB/masks/128.png,384,288,3,6174,110592,5.5827,Medium
129.png,Data/CVC-ClinicDB/images/129.png,Data/CVC-ClinicDB/masks/129.png,384,288,3,7910,110592,7.1524,Medium
13.png,Data/CVC-ClinicDB/images/13.png,Data/CVC-ClinicDB/masks/13.png,384,288,3,13995,110592,12.6546,Medium
130.png,Data/CVC-ClinicDB/images/130.png,Data/CVC-ClinicDB/masks/130.png,384,288,3,10263,110592,9.2801,Medium
131.png,Data/CVC-ClinicDB/images/131.png,Data/CVC-ClinicDB/masks/131.png,384,288,3,10576,110592,9.5631,Medium
132.png,Data/CVC-ClinicDB/images/132.png,Data/CVC-ClinicDB/masks/132.png,384,288,3,5361,110592,4.8475,Small
133.png,Data/CVC-ClinicDB/images/133.png,Data/CVC-ClinicDB/masks/133.png,384,288,3,7692,110592,6.9553,Medium
134.png,Data/CVC-ClinicDB/images/134.png,Data/CVC-ClinicDB/masks/134.png,384,288,3,7122,110592,6.4399,Medium
135.png,Data/CVC-ClinicDB/images/135.png,Data/CVC-ClinicDB/masks/135.png,384,288,3,15832,110592,14.3157,Medium
136.png,Data/CVC-ClinicDB/images/136.png,Data/CVC-ClinicDB/masks/136.png,384,288,3,13410,110592,12.1257,Medium
137.png,Data/CVC-ClinicDB/images/137.png,Data/CVC-ClinicDB/masks/137.png,384,288,3,11670,110592,10.5523,Medium
138.png,Data/CVC-ClinicDB/images/138.png,Data/CVC-ClinicDB/masks/138.png,384,288,3,17963,110592,16.2426,Medium
139.png,Data/CVC-ClinicDB/images/139.png,Data/CVC-ClinicDB/masks/139.png,384,288,3,20378,110592,18.4263,Medium
14.png,Data/CVC-ClinicDB/images/14.png,Data/CVC-ClinicDB/masks/14.png,384,288,3,23199,110592,20.9771,Large
140.png,Data/CVC-ClinicDB/images/140.png,Data/CVC-ClinicDB/masks/140.png,384,288,3,22799,110592,20.6154,Large
141.png,Data/CVC-ClinicDB/images/141.png,Data/CVC-ClinicDB/masks/141.png,384,288,3,29183,110592,26.388,Large
142.png,Data/CVC-ClinicDB/images/142.png,Data/CVC-ClinicDB/masks/142.png,384,288,3,24563,110592,22.2105,Large
143.png,Data/CVC-ClinicDB/images/143.png,Data/CVC-ClinicDB/masks/143.png,384,288,3,4556,110592,4.1196,Small
144.png,Data/CVC-ClinicDB/images/144.png,Data/CVC-ClinicDB/masks/144.png,384,288,3,16500,110592,14.9197,Medium
145.png,Data/CVC-ClinicDB/images/145.png,Data/CVC-ClinicDB/masks/145.png,384,288,3,22541,110592,20.3821,Large
146.png,Data/CVC-ClinicDB/images/146.png,Data/CVC-ClinicDB/masks/146.png,384,288,3,22442,110592,20.2926,Large
147.png,Data/CVC-ClinicDB/images/147.png,Data/CVC-ClinicDB/masks/147.png,384,288,3,13509,110592,12.2152,Medium
